Algoritmo,ID_VETOR,NumeroEntradas,Tempo,TipoEntrada
BubbleSort,10,38629,1.8575449,Aleatória
BubbleSort,10,46373,2.7571238,Aleatória
BubbleSort,10,55668,4.0439083,Aleatória
BubbleSort,10,66827,5.920472,Aleatória
BubbleSort,10,80223,8.611343599999998,Aleatória
BubbleSort,10,96304,12.4577777,Aleatória
BubbleSort,10,115609,18.227427,Aleatória
BubbleSort,10,138784,26.141358,Aleatória
BubbleSort,10,166604,38.577875,Aleatória
BubbleSort,10,200000,55.9033648,Aleatória
BubbleSort,11,1,3e-06,Aleatória
BubbleSort,11,2,2.1e-06,Aleatória
BubbleSort,11,3,2e-06,Aleatória
BubbleSort,11,4,1.1e-06,Aleatória
BubbleSort,11,6,1.2e-06,Aleatória
BubbleSort,11,7,2.1e-06,Aleatória
BubbleSort,11,10,2.2e-06,Aleatória
BubbleSort,11,13,3.2e-06,Aleatória
BubbleSort,11,18,2.5e-06,Aleatória
BubbleSort,11,24,2.8e-06,Aleatória
BubbleSort,11,32,3e-06,Aleatória
BubbleSort,11,42,2.7e-06,Aleatória
BubbleSort,11,56,3.7e-06,Aleatória
BubbleSort,11,75,5.6e-06,Aleatória
BubbleSort,11,100,7.999999999999998e-06,Aleatória
BubbleSort,11,133,1.25e-05,Aleatória
BubbleSort,11,178,5.8e-05,Aleatória
BubbleSort,11,237,3.61e-05,Aleatória
BubbleSort,11,316,8.069999999999998e-05,Aleatória
BubbleSort,11,422,0.0001022,Aleatória
BubbleSort,11,562,0.0001662,Aleatória
BubbleSort,11,750,0.0002944,Aleatória
BubbleSort,11,1000,0.0005115,Aleatória
BubbleSort,11,1200,0.000712,Aleatória
BubbleSort,11,1441,0.0009781,Aleatória
BubbleSort,11,1730,0.001449,Aleatória
BubbleSort,11,2077,0.002129,Aleatória
BubbleSort,11,2493,0.0029333,Aleatória
BubbleSort,11,2993,0.0043987,Aleatória
BubbleSort,11,3593,0.006343,Aleatória
BubbleSort,11,4313,0.0094713,Aleatória
BubbleSort,11,5177,0.0144602,Aleatória
BubbleSort,11,6215,0.0209389,Aleatória
BubbleSort,11,7461,0.0346495,Aleatória
BubbleSort,11,8957,0.0547391999999999,Aleatória
BubbleSort,11,10752,0.0904989,Aleatória
BubbleSort,11,12907,0.1434217,Aleatória
BubbleSort,11,15495,0.2301644,Aleatória
BubbleSort,11,18601,0.3622539,Aleatória
BubbleSort,11,22330,0.5523423000000001,Aleatória
BubbleSort,11,26806,0.8361826999999998,Aleatória
BubbleSort,11,32179,1.248417,Aleatória
BubbleSort,11,38629,1.8550526,Aleatória
BubbleSort,11,46373,2.723857,Aleatória
BubbleSort,11,55668,4.0439903,Aleatória
BubbleSort,11,66827,5.9372357,Aleatória
BubbleSort,11,80223,8.714044299999998,Aleatória
BubbleSort,11,96304,12.6533077,Aleatória
BubbleSort,11,115609,18.3981664,Aleatória
BubbleSort,11,138784,26.3399698,Aleatória
BubbleSort,11,166604,37.6165098,Aleatória
BubbleSort,11,200000,55.2092662,Aleatória
BubbleSort,12,1,2.6e-06,Aleatória
BubbleSort,12,2,2.2e-06,Aleatória
BubbleSort,12,3,2e-06,Aleatória
BubbleSort,12,4,2e-06,Aleatória
BubbleSort,12,6,2.2e-06,Aleatória
